id,school_id,academic_year_id,name,grade,fase,wali_kelas_id,capacity,created_at
381955aa-9974-49e8-b835-2f873f7c6a47,efe23973-c473-4535-a6d8-77ecb1ee53a8,5f12f382-6747-4575-a4ff-a1b1f71133f8,Kelas 2,2,A,7a25b25d-722c-46b2-8720-a43d0bc415af,,2025-11-07 02:20:10.829008+00
45bac0b4-4ddd-46df-9a58-c3edb4c543ba,efe23973-c473-4535-a6d8-77ecb1ee53a8,5f12f382-6747-4575-a4ff-a1b1f71133f8,Kelas 5,5,C,edc9b22b-bcfc-4755-bcd0-1ee5a08cb1dc,,2025-11-07 02:20:10.829008+00
82cf8566-d35a-4a17-aa48-1f23a9f22c9b,efe23973-c473-4535-a6d8-77ecb1ee53a8,5f12f382-6747-4575-a4ff-a1b1f71133f8,Kelas 4,4,B,a47ae7f9-d3c0-4fa1-8845-4e31db547320,,2025-11-07 02:20:10.829008+00
99776c60-b3be-421e-83f8-7f79e9fdb31c,efe23973-c473-4535-a6d8-77ecb1ee53a8,5f12f382-6747-4575-a4ff-a1b1f71133f8,Kelas 6,6,C,3022d77f-b762-4a99-ae64-8960e0a278b4,,2025-11-07 02:20:10.829008+00
9f934086-2b16-4036-89f2-98ae68570f40,efe23973-c473-4535-a6d8-77ecb1ee53a8,5f12f382-6747-4575-a4ff-a1b1f71133f8,Kelas 3,3,B,81184cf1-92f4-46ee-9679-26b51dc0cb02,,2025-11-07 02:20:10.829008+00
bb237eea-07b2-4f62-a50a-8a4f2e7dfbf5,efe23973-c473-4535-a6d8-77ecb1ee53a8,5f12f382-6747-4575-a4ff-a1b1f71133f8,Kelas 1,1,A,fe83760a-dfa1-4acd-82a3-4a73b4bc739d,,2025-11-07 02:20:10.829008+00
